A	4	1	0	0	1.25	1.25
B	3	2	2	1	3.75	1.25
C	3	3	1	1	6.25	1.25
D	2	1	1	1	8.75	1.25
E	4	1	1	1	1.25	3.75
F	4	1	1	2	3.75	3.75
G	3	1	1	1	6.25	3.75
H	2	1	1	2	8.75	3.75
I	1	0	1	2	1.25	6.25
J	2	1	0	2	3.75	6.25
K	3	1	1	2	6.25	6.25
L	2	1	3	2	8.75	6.25
M	1	2	0	4	1.25	8.75
N	1	0	0	3	3.75	8.75
O	3	0	2	3	6.25	8.75
P	3	1	3	2	8.75	8.75
